epoch,train_loss,train_top1_acc,train_time,test_loss,test_top1_acc,test_time
0,1.6497430852127075,38.407997,0.032825371798347026,2.2414758403778077,36.3,0.012879969198492509
1,1.0860317310333252,61.202,0.025396397046725767,1.1803249225616455,60.96,0.010297769232641292
2,0.920956721496582,67.836,0.02563701688176226,0.9370626673698426,66.979996,0.009779389900497244
3,0.8266031411552429,71.911995,0.025886193565700367,0.842523237323761,71.63,0.00984149944933155
4,0.7653992081832885,74.14,0.02563554246712219,1.0555679045677184,65.34,0.009927251670933977
5,0.7162407094764709,75.813995,0.02529665515245989,1.0911078647613526,65.92,0.010072717183752905
6,0.6779369584083557,77.32,0.025618857434948388,1.2090521598815918,64.189995,0.01033869574341593
7,0.6608738683891296,77.666,0.025866083476854408,0.812954296875,73.439995,0.010029436666754227
8,0.6333525088691712,78.614,0.02548398569111934,0.9999508172035217,66.59,0.01041915748692766
9,0.6114250536155701,79.298,0.025571313965351075,0.8462329848289489,72.119995,0.009741173514836951
10,0.600385407295227,79.668,0.02553612130987065,1.283007586479187,63.44,0.010419739952570275
11,0.588411289176941,80.088,0.025321665322384262,1.2325091626167297,64.18,0.010130667988258072
12,0.566282178440094,80.824,0.025986384247879846,0.9254307629585267,69.59,0.009838406043716623
13,0.5583114016342163,81.192,0.025610381075183448,0.9374844081878662,69.56,0.010327242597748962
14,0.5436522410202026,81.386,0.025484425942306325,0.8039462490081787,73.74,0.010123883621602119
15,0.5389290340328217,81.654,0.025895632746274513,0.6470930050849915,78.229996,0.010204728645614431
16,0.5302792434692383,81.981995,0.0257943725342031,0.8098418773651123,73.99,0.010056097296219839
17,0.5218494150161743,82.355995,0.025961552739448255,1.1784830810546876,62.44,0.010311437558524216
18,0.5169722420883178,82.332,0.02596060699209228,0.6158060558319092,79.24,0.010270061372201654
19,0.5064284854316712,82.712,0.025576917106843056,0.709997830581665,76.71,0.009843189505082143
20,0.5021819592094421,82.995995,0.02558482028639225,0.6735194284439087,76.47,0.009968700288217279
21,0.49289822295188906,83.35,0.02595514043822618,1.0259988831520082,69.29,0.009892119637018517
22,0.4821214586257935,83.666,0.025388785945180126,0.9412866276741028,70.22,0.010404613953602464
23,0.47975495076179503,83.79,0.025938885900980372,0.7224068927764893,77.39,0.010077545914468886
24,0.4765574625301361,83.778,0.02565657208337808,0.6084859111785889,79.57,0.01045219807685176
25,0.47652798652648926,83.738,0.025902910305715888,0.8092376571655273,75.009995,0.010130320923237861
26,0.46861724786758424,84.158,0.025589829515618133,0.7127725790023803,77.7,0.00966234448589856
27,0.4637043851852417,84.122,0.025184660006667036,0.8582001384735107,74.009995,0.010152385204653197
28,0.45430023292541505,84.598,0.025278545706473348,0.958679105091095,68.82,0.010375013834313501
29,0.4611330512332916,84.206,0.025731732473349023,1.3447217515945435,64.659996,0.010323557672621329
30,0.4521219811630249,84.682,0.025963261304304118,0.8416789874076843,70.85,0.009769572487360314
31,0.44738821288108827,84.796,0.025313481040622875,0.5742826191902161,80.4,0.01053749156903617
32,0.44588098407745363,84.75,0.02542290419263913,0.4794092561244965,83.93,0.009787019295028494
33,0.4482302030181885,84.78,0.0256453340925524,0.6210064782142639,80.24,0.009955454476272003
34,0.4437815238380432,84.89,0.025253977007268336,0.7073197529792785,76.799995,0.01013769982736322
35,0.4397922400474548,85.028,0.025831647541211998,1.0014886346817016,69.549995,0.010280120221874382
36,0.4380920112037659,84.976,0.02542002304740574,1.0559713992118835,67.619995,0.01018969922126094
37,0.43386707783699036,85.142,0.025617902541099608,0.6789447244644164,76.97,0.009719851650769197
38,0.4301537015914917,85.369995,0.02595111171302893,0.7215431917190551,76.04,0.010266720494137535
